"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
89,0.0290868401139247,129630.798725988,167984.301323502,1.16069522367513,1.34550555345129,38353.5025975138,0.184810329776157,207528.998211126,-23777.3270777385
90,0.0261549646521159,131227.751072887,176303.077417112,1.12915594463601,1.39484880117218,45075.3263442252,0.265692856536166,169652.006952206,-24119.8650563612
91,0.0249724612474786,152795.124333779,208299.820219889,1.24472126051512,1.510732500559,55504.6958861099,0.266011240043885,208655.453344577,-34524.1233726087
92,0.0254574914399079,120987.41270161,159042.589976889,1.2311563124075,1.39565062243415,38055.177275279,0.164494310026645,231346.465838939,-25081.3465491675
93,0.0268762415146192,127338.00327029,166758.034905656,1.08301275800365,1.24447067920611,39420.0316353661,0.161457921202457,244150.496561491,-26685.683932207
94,0.0261390049854803,126907.418261094,171146.696405756,1.29512021257005,1.50130996654612,44239.2781446622,0.206189753976068,214556.142056394,-27976.8860588158
95,0.025992401354617,134221.497371471,177610.049724061,1.17718123414496,1.3328799223466,43388.5523525902,0.155698688201647,278669.993008529,-31108.4411154381
96,0.0250894798153756,134804.979895543,162266.599219859,1.18006485754369,1.27055424091569,27461.6193243164,0.0904893833720046,303478.908806582,-20324.631168383
97,0.026431990147405,121237.309496664,166819.695438221,0.993513860193024,1.18216638003568,45582.3859415577,0.188652519842652,241620.869838241,-30703.1730490479
98,0.0253451954051281,127027.863447496,173667.866027191,1.19552600298714,1.37826224827093,46640.0025796948,0.182736245283796,255231.262452947,-32227.4121779165
99,0.0259447848708163,126808.447178653,167438.034633673,1.21195574090519,1.3678503272874,40629.5874550196,0.155894586382205,260622.183219426,-28334.0255324688
100,0.0279264200420905,138134.571349287,180262.223005475,1.35250192712032,1.50519512652548,42127.6516561879,0.152693199405163,275897.366878825,-30084.5863259033
101,0.0256585528769312,146920.623294867,197576.687241645,1.06813893054957,1.24031626842915,50656.0639467782,0.172177337879577,294208.660504484,-37076.2651308781
102,0.0274148764680535,118513.894681744,152479.576786923,1.1200975429948,1.23574370048243,33965.6821051783,0.115646157487629,293703.507691656,-24844.5540179715
103,0.0239823102304868,138899.435207488,191114.31343079,1.36800494096145,1.60988934691802,52214.8782233025,0.241884405956577,215867.070954033,-33137.2132411014
104,0.0264166531516823,126236.001957014,161550.627873708,1.20992895903555,1.35888795233678,35314.6259166943,0.148958993301236,237076.15857257,-23566.0811560325
105,0.0272758321027398,132310.190241776,172777.843606885,1.03760221440849,1.16933001177256,40467.6533651091,0.131727797364064,307206.635007085,-30078.1502592081
106,0.0269425210178751,124592.303375099,160976.067171413,1.20223596333895,1.40144858365909,36383.7637963143,0.199212620320138,182637.845623661,-20671.6652190447
107,0.0266523615316353,121828.978116942,177741.280250871,1.04232458643784,1.28298845745447,55912.3021339285,0.240663871016625,232325.283798274,-36930.9019629763
108,0.025561622854403,134329.342624876,171284.254380794,1.15341597176864,1.26973168700801,36954.9117559181,0.116315715239373,317712.113791902,-27780.9749792735
109,0.0252465758685983,144386.757041165,184316.569852873,1.20346091403474,1.36277725084539,39929.8128117085,0.159316336810645,250632.2553673,-27364.3740111161
110,0.0249760699417841,154947.07589862,207587.214878447,1.11449046396028,1.30928669501935,52640.138979827,0.194796231059076,270231.814515255,-37276.3654399666
111,0.0266699652319534,136112.948738851,175372.538857253,1.1952618995412,1.32921486124872,39259.5901184017,0.133952961707515,293084.897996691,-28694.5860755683
112,0.0250959184324479,142641.404144257,187170.010424922,1.22094035031411,1.36604858112117,44528.6062806651,0.145108230807068,306864.786601038,-33083.7750086809
