"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
38,0.0254810207726572,42774.5335490684,70870.0708167669,1.30171326419127,1.42078720893331,28095.5372676984,0.11907394474204,235950.335974542,-22737.2097543066
39,0.0261952990586027,38318.0363423049,64941.2712877025,0.96068026748741,1.08035026325429,26623.2349453975,0.119669995766881,222472.097327219,-21238.0851358879
40,0.0245873854280303,41665.3963909776,68075.785655499,1.10186541552189,1.22978301702146,26410.3892645213,0.12791760149957,206464.07495852,-20654.0971970407
41,0.028443359821316,40889.5686654282,76589.7201259105,1.17031843684784,1.38016902247696,35700.1514604823,0.209850585629125,170121.762364658,-26256.8751071717
42,0.0248188321138909,37117.8370399114,64724.7260634168,1.17984832655948,1.3709375364595,27606.8890235055,0.191089209900026,144471.208175223,-19007.8745780043
43,0.025911732180941,43150.7173237987,71773.7191879842,1.29609782428211,1.46753236463909,28623.0018641855,0.171434540356981,166961.697476969,-20908.4475481214
44,0.0258184812513955,39504.1262146791,67216.9226050283,1.14303845104148,1.29174672918496,27712.7963903492,0.148708278143485,186356.783471125,-21020.9238738923
45,0.0276928182137366,43746.6074449571,71604.812953097,1.22566656342086,1.3972769707978,27858.2055081399,0.171610407376933,162334.009539123,-20135.7371761779
46,0.0263761969181661,33737.7701137359,59349.3470332317,0.938697672755754,1.09320147430197,25611.5769194958,0.154503801546221,165766.645630619,-18658.9058499159
47,0.0268709200299075,37626.6324778511,67775.8499374971,1.19592303753946,1.32194526771006,30149.217459646,0.126022230170593,239237.295029883,-24478.2171019693
48,0.0264559986218653,40591.0878830964,70034.6469170398,1.16572383311927,1.28721526463921,29443.5590339435,0.121491431519934,242350.910394142,-23976.4446155465
49,0.0264351317491504,37684.0360562409,64121.2321460356,1.19652617207007,1.3552649167811,26437.1960897946,0.158738744711033,166545.326649274,-19293.9525777982
50,0.0287525056243762,39266.5139885581,72934.8403034481,1.00360412841525,1.25650109771239,33668.3263148901,0.252896969297134,133130.604168421,-22287.962696519
51,0.0261693805995365,39421.0311502198,73407.072589861,1.08637789320929,1.25829788646412,33986.0414396412,0.171919993254833,197685.21854968,-26249.6417431737
52,0.029053039914417,39237.5744834168,73496.7031230729,1.04605137025544,1.18490773736215,34259.1286396561,0.138856367106707,246723.498198171,-28010.5921198543
53,0.0273779683698555,36852.4682921568,67087.5544116631,1.17547858023783,1.34755141525748,30235.0861195063,0.172072835019642,175710.977947536,-22491.8085436224
54,0.0266791012894384,35261.1676989718,61726.6776742032,1.14247408199833,1.29267374963743,26465.5099752314,0.150199667639104,176202.18733654,-19706.5249314717
55,0.0268152665325901,39242.5363941392,76724.6044871846,1.19734105664364,1.42592907998964,37482.0680930454,0.228588023346002,163972.143178782,-27195.6070424753
56,0.0270610319832509,40734.7579627432,72318.0290320333,1.09373811705046,1.28587530465588,31583.2710692901,0.192137187605416,164378.751781,-22937.0976270464
57,0.0257661524007267,34027.5993091861,60326.6248639748,1.16422543734029,1.38006132197825,26299.0255547887,0.215835884637964,121847.326726516,-16586.4107460803
58,0.026013266137798,39011.2786937461,66477.7565745344,1.22056368501506,1.38949848215939,27466.4778807882,0.168934797144334,162586.266092483,-19864.4120092932
59,0.0249848071097513,39568.786330249,71365.7347213706,1.37262377108292,1.55217136556514,31796.9483911216,0.179547594482226,177094.817019502,-23717.3066394214
60,0.0249007180569731,46633.6684479857,71347.9748668443,1.23721705722358,1.35012554929189,24714.3064188585,0.112908492068304,218887.932750955,-19633.4242757849
61,0.0269460881342291,47366.0747949317,87362.2854515641,1.09536324245703,1.32427546585684,39996.2106566324,0.228912223399813,174722.913711672,-29695.1606036409
62,0.027165759667663,41712.2233314834,74844.2108162852,1.09441788494322,1.32321220579085,33131.9874848018,0.228794320847634,144811.23203607,-22836.2430466583
63,0.0265750988185966,36672.2849136326,66272.1434829573,1.05290527935736,1.1827731714435,29599.8585693247,0.129867892086134,227922.838307814,-23755.8034254486
64,0.0279320234184461,36853.9876298487,72201.1247052107,1.052637208773,1.27675924053598,35347.1370753619,0.224122031762972,157713.799028667,-25261.6456460282
65,0.0257827341473595,44115.7061602451,69574.6183898147,1.21984293259666,1.32566373918284,25458.9122295696,0.105820806586187,240585.127357108,-20696.9759331912
66,0.0280768229990792,41298.2801100921,71992.1521352848,1.08110378688746,1.23170628157616,30693.8720251927,0.150602494688698,203807.195150639,-23916.7597642013
67,0.0254593002329126,36617.1092066575,65729.7694219721,1.30013544005224,1.43974660647783,29112.6602153146,0.139611166425593,208526.73149773,-22830.1577261629
68,0.0254910462185992,41136.3491592326,65243.4811349438,1.10428952325634,1.2763669594121,24107.1319757112,0.17207743615576,140094.671993428,-16363.647348702
69,0.0281117554821392,41938.1167911376,70080.161107573,1.23119400084556,1.34758565344303,28142.0443164354,0.116391652597465,241787.47950047,-22904.4199495495
70,0.0260836907624641,45540.284276199,73231.6591795576,1.16361588259835,1.37122084158094,27691.3749033585,0.207604958982584,133384.939546081,-18349.1517491423
71,0.0246607854388186,37780.5015550852,67866.0211608636,1.18928310336792,1.34522967483509,30085.5196057783,0.155946571467173,192921.968868751,-23067.9238897556
72,0.0267639001187517,45004.5820629848,69578.2425257327,1.13514010653524,1.20226219352962,24573.6604627479,0.0671220869943769,366103.93930103,-21553.1665480009
73,0.0262955136398776,39585.4483484625,70105.2783920412,1.09851456117464,1.27780578325609,30519.8300435787,0.17929122208145,170224.898292644,-22451.7250499135
74,0.0265060409911767,39825.1322864261,68979.2134220601,1.25223213591242,1.44318081796085,29154.081135634,0.190948682048435,152680.190420162,-20561.3904434544
75,0.0270696033319875,39800.2395091964,66206.2270757943,0.984107835088635,1.11585311374407,26405.9875665979,0.131745278655434,200432.135679487,-20477.4500271033
76,0.0259587290847519,37395.3609496055,66788.3900228333,1.00042376329077,1.07454047751495,29393.0290732278,0.0741167142241841,396577.605751942,-26057.7769331395
77,0.0274728009464445,39515.4960087837,75554.0843835772,1.20874407844632,1.39718645801849,36038.5883747936,0.18844237957217,191244.604619267,-27558.6812940459
78,0.0261770523067297,39005.503006958,73793.6523521772,1.03689327191225,1.20920181255364,34788.1493452192,0.172308540641394,201894.515592351,-27034.2650163564
79,0.0269886084913895,36535.8700182158,65148.1906042576,1.00456989349925,1.12545015484617,28612.3205860418,0.12088026134692,236699.691638867,-23172.7088254304
80,0.0282390463138571,35645.1303096417,68886.6102361013,1.14881158751449,1.42262011007062,33241.4799264596,0.273808522556121,121404.109763042,-20920.0964114342
81,0.0271457691176557,40059.0765295947,79969.9442024977,1.10451764905223,1.33962200719163,39910.867672903,0.235104358139399,169758.093762085,-29331.17155663
